ano_fundacao;nome;abertura_total
01-01-2005;CAMPUS UNIVERSITÁRIO DE ALENQUER;0
01-01-2005;CAMPUS UNIVERSITÁRIO DE ITAITUBA;0
01-01-2005;CAMPUS UNIVERSITÁRIO DE JURUTI;0
01-01-2005;CAMPUS UNIVERSITÁRIO DE MONTE ALEGRE;0
01-01-2005;CAMPUS UNIVERSITÁRIO DE ORIXIMINÁ-PROF.DR. DOMINGOS DINIZ;0
01-01-2005;CAMPUS UNIVERSITÁRIO DE ÓBIDOS;0
01-01-2005;CENTRO DE FORMAÇÃO INTERDISCIPLINAR;0
01-01-2005;COODERNAÇÃO GERAL INSTITUCIONAL DO FORMAPARÁ;0
01-01-2005;COODERNAÇÃO GERAL INSTITUCIONAL DO PARFOR;0
01-01-2005;INSTITUTO DE BIODIVERSIDADE E FLORESTA;0
01-01-2005;INSTITUTO DE CIÊNCIAS DA EDUCAÇÃO;0
01-01-2005;INSTITUTO DE CIÊNCIAS DA SOCIEDADE;0
01-01-2005;INSTITUTO DE CIÊNCIAS E TECNOLOGIA DAS ÁGUAS;0
01-01-2005;INSTITUTO DE ENGENHARIA E GEOCIÊNCIA;0
01-01-2005;INSTITUTO DE SAÚDE COLETIVA;0




